,playerId,season,name,team,games_played,icetime,xGoals,goals,unblocked_shot_attempts,xRebounds,rebounds,xFreeze,freeze,xOnGoal,ongoal,xPlayStopped,playStopped,xPlayContinuedInZone,playContinuedInZone,xPlayContinuedOutsideZone,playContinuedOutsideZone,flurryAdjustedxGoals,lowDangerShots,mediumDangerShots,highDangerShots,lowDangerxGoals,mediumDangerxGoals,highDangerxGoals,lowDangerGoals,mediumDangerGoals,highDangerGoals,blocked_shot_attempts,sv_pct,next_sv_pct
96,8475660,2014,Cam Talbot,NYR,36,125697.0,88.63,77.0,1956.0,72.07,58.0,244.24,293.0,1067.36,1038.0,35.0,36.0,598.66,511.0,443.64,505.0,85.92,1127.0,278.0,77.0,30.49,33.69,24.44,31.0,21.0,25.0,474.0,0.9258188824662813,0.9169193450576106
196,8470320,2014,Cam Ward,CAR,51,180343.0,116.51,121.0,2611.0,92.82,102.0,331.96,283.0,1403.2,1351.0,49.65,57.0,782.96,658.0,585.63,736.0,113.08,1525.0,339.0,92.0,43.15,40.68,32.69,38.0,49.0,34.0,655.0,0.9104367135455218,0.9091586001489204
141,8470645,2014,Corey Crawford,CHI,57,198680.0,142.39,126.0,2891.0,109.57,122.0,358.28,336.0,1584.72,1661.0,57.13,58.0,871.3,665.0,653.23,888.0,137.08,1622.0,446.0,119.0,48.44,53.48,40.48,30.0,51.0,45.0,704.0,0.9241420830824805,0.9237929028504945
126,8471239,2014,Cory Schneider,N.J,69,235436.0,166.23,148.0,3436.0,128.56,111.0,433.73,487.0,1914.2,1982.0,51.2,51.0,1055.58,787.0,788.75,1038.0,160.49,1978.0,516.0,140.0,56.67,62.75,46.8,48.0,57.0,43.0,802.0,0.9253279515640767,0.9236067626800251
301,8467950,2014,Craig Anderson,OTT,35,125551.0,85.38,87.0,1971.0,72.65,68.0,253.42,285.0,1091.21,1134.0,31.87,30.0,614.31,477.0,464.44,557.0,83.28,1234.0,214.0,78.0,33.37,26.39,25.63,30.0,24.0,33.0,445.0,0.9232804232804233,0.9159268929503916
361,8475311,2014,Darcy Kuemper,MIN,31,92923.0,59.11,68.0,1395.0,48.23,50.0,168.24,149.0,727.34,719.0,24.5,29.0,403.42,318.0,307.97,407.0,57.42,772.0,192.0,46.0,22.71,22.39,14.01,30.0,25.0,13.0,385.0,0.9054242002781641,0.9151873767258383
456,8471227,2014,Devan Dubnyk,MIN,58,198192.0,135.76,115.0,3183.0,113.61,105.0,377.85,405.0,1645.8,1625.0,50.35,42.0,932.54,730.0,684.81,890.0,131.75,1766.0,419.0,112.0,49.16,49.56,37.05,38.0,43.0,34.0,886.0,0.9292307692307692,0.9179879715691635
446,8475663,2014,Eddie Lack,VAN,41,138238.0,109.25,95.0,2191.0,83.11,73.0,263.81,325.0,1169.16,1201.0,37.09,29.0,648.45,509.0,472.53,575.0,104.78,1202.0,291.0,123.0,35.97,35.48,37.79,26.0,35.0,34.0,575.0,0.9208992506244796,0.9010989010989011
296,8475883,2014,Frederik Andersen,ANA,54,184680.0,125.7,123.0,2832.0,100.37,98.0,337.09,330.0,1486.86,1436.0,51.39,41.0,838.09,706.0,633.73,789.0,117.75,1605.0,366.0,114.0,43.34,43.12,39.23,45.0,39.0,39.0,747.0,0.9143454038997214,0.9189686924493554
106,8468685,2014,Henrik Lundqvist,NYR,46,164556.0,110.47,103.0,2524.0,88.39,81.0,305.79,296.0,1333.33,1329.0,42.15,37.0,747.23,622.0,560.82,699.0,106.01,1443.0,307.0,107.0,38.15,38.66,33.67,30.0,35.0,38.0,667.0,0.9224981188863808,0.9197530864197531
36,8474596,2014,Jake Allen,STL,37,124608.0,79.64,79.0,1771.0,63.13,65.0,211.61,242.0,921.69,909.0,33.03,35.0,513.97,372.0,376.98,474.0,76.7,973.0,229.0,73.0,28.36,26.86,24.42,34.0,26.0,19.0,496.0,0.9130913091309131,0.9199048374306106
171,8473503,2014,James Reimer,TOR,35,106013.0,90.85,93.0,1733.0,65.8,63.0,225.62,257.0,973.04,1001.0,26.87,35.0,534.79,412.0,396.43,486.0,86.93,960.0,295.0,90.0,28.02,34.79,28.05,33.0,35.0,25.0,388.0,0.9070929070929071,0.9219858156028369
201,8470860,2014,Jaroslav Halak,NYI,59,211797.0,146.76,144.0,3269.0,114.36,113.0,378.78,422.0,1667.9,1673.0,65.14,72.0,918.78,752.0,704.37,825.0,141.19,1769.0,414.0,136.0,50.72,49.41,46.63,56.0,45.0,43.0,950.0,0.9139270771069934,0.9186991869918699
311,8470657,2014,Jimmy Howard,DET,53,177937.0,114.0,121.0,2383.0,87.54,66.0,296.14,327.0,1306.38,1350.0,46.19,63.0,735.16,571.0,549.62,686.0,109.53,1424.0,287.0,114.0,39.32,34.96,39.72,40.0,34.0,47.0,558.0,0.9103703703703704,0.906026557711951
411,8476434,2014,John Gibson,ANA,23,79195.0,55.44,58.0,1220.0,44.26,44.0,151.21,183.0,663.35,674.0,21.07,26.0,374.44,297.0,278.28,310.0,53.25,716.0,161.0,49.0,20.07,19.39,15.98,13.0,26.0,19.0,294.0,0.913946587537092,0.9204431017119838
186,8473972,2014,Jonas Hiller,CGY,52,171053.0,121.04,113.0,2930.0,96.9,88.0,332.73,331.0,1458.56,1376.0,41.36,40.0,802.73,669.0,618.23,776.0,117.33,1523.0,399.0,96.0,43.46,47.64,29.93,40.0,42.0,31.0,912.0,0.9178779069767442,0.8792048929663608
136,8473541,2014,Jonathan Bernier,TOR,58,190629.0,164.07,152.0,3277.0,121.71,110.0,411.66,475.0,1787.88,1735.0,48.45,61.0,1004.56,847.0,734.89,821.0,156.31,1883.0,460.0,153.0,53.16,54.7,56.21,57.0,49.0,46.0,781.0,0.9123919308357349,0.90754039497307
166,8471734,2014,Jonathan Quick,L.A,72,250807.0,163.61,156.0,3553.0,128.05,135.0,448.55,457.0,1945.81,1896.0,70.1,79.0,1078.7,886.0,807.52,991.0,157.64,2090.0,450.0,148.0,57.02,54.99,51.61,51.0,58.0,47.0,865.0,0.9177215189873418,0.9181318681318681
1,8470140,2014,Kari Lehtonen,DAL,65,221861.0,173.72,181.0,3618.0,130.91,154.0,439.2,424.0,1905.76,1875.0,65.85,64.0,1051.28,873.0,787.93,949.0,166.81,1986.0,494.0,168.0,55.21,61.29,57.23,59.0,55.0,67.0,970.0,0.9034666666666666,0.9063336306868867
356,8471403,2014,Karri Ramo,CGY,34,103907.0,78.92,75.0,1727.0,57.37,54.0,197.58,191.0,866.12,852.0,25.99,31.0,467.52,426.0,356.64,412.0,76.46,874.0,237.0,75.0,25.15,28.33,25.45,23.0,22.0,30.0,541.0,0.9119718309859155,0.9090909090909091
256,8470594,2014,Marc-Andre Fleury,PIT,64,226499.0,165.24,146.0,3305.0,126.46,131.0,405.19,339.0,1795.99,1831.0,60.36,73.0,985.84,810.0,729.95,973.0,157.72,1846.0,455.0,169.0,52.91,55.37,56.96,44.0,46.0,56.0,835.0,0.9202621518296012,0.9207207207207208
401,8474636,2014,Michael Hutchinson,WPG,38,127102.0,89.21,85.0,1849.0,65.85,72.0,233.65,307.0,989.63,986.0,34.43,40.0,542.29,389.0,404.24,476.0,85.38,1036.0,251.0,81.0,29.45,31.62,28.15,31.0,29.0,25.0,481.0,0.9137931034482758,0.906832298136646
156,8473607,2014,Michal Neuvirth,NYI,32,110985.0,94.68,92.0,1991.0,73.1,59.0,236.1,294.0,1055.0,1067.0,24.2,30.0,603.85,495.0,440.65,509.0,90.98,1112.0,288.0,83.0,33.38,34.08,27.22,36.0,32.0,24.0,508.0,0.9137769447047798,0.9240088105726872
326,8469608,2014,Mike Smith,ARI,62,213347.0,171.57,187.0,3571.0,134.15,144.0,438.92,444.0,1935.58,1955.0,55.82,45.0,1079.39,897.0,800.98,948.0,165.55,2046.0,473.0,169.0,57.14,56.12,58.3,56.0,56.0,75.0,883.0,0.9043478260869565,0.9163952225841476
236,8471715,2014,Ondrej Pavelec,WPG,50,170271.0,126.45,108.0,2495.0,92.17,86.0,306.7,293.0,1345.21,1353.0,44.15,40.0,743.69,617.0,545.72,715.0,122.01,1383.0,361.0,114.0,41.53,44.56,40.37,32.0,33.0,43.0,637.0,0.9201773835920177,0.9041394335511983
111,8471469,2014,Pekka Rinne,NSH,64,231047.0,136.46,140.0,3397.0,116.82,109.0,413.89,520.0,1776.96,1807.0,64.33,78.0,997.1,772.0,751.22,875.0,132.7,1986.0,371.0,116.0,52.0,44.65,39.81,48.0,44.0,48.0,924.0,0.9225235196458218,0.9077363896848137
61,8475852,2014,Petr Mrazek,DET,29,95102.0,64.66,63.0,1299.0,50.42,50.0,166.81,169.0,737.97,768.0,23.08,29.0,415.71,310.0,302.55,407.0,62.58,788.0,174.0,62.0,23.63,20.86,20.17,21.0,20.0,22.0,275.0,0.91796875,0.9205801104972375
56,8466141,2014,Roberto Luongo,FLA,61,211391.0,142.0,138.0,3056.0,114.57,115.0,385.73,447.0,1671.76,1743.0,54.63,64.0,950.0,730.0,713.01,856.0,137.03,1809.0,432.0,121.0,49.32,51.53,41.15,48.0,49.0,41.0,694.0,0.9208261617900172,0.9217101610216546
281,8475215,2014,Robin Lehner,OTT,25,87995.0,59.23,74.0,1326.0,50.69,49.0,177.53,153.0,753.39,779.0,23.27,16.0,422.99,335.0,314.42,409.0,57.31,819.0,179.0,51.0,21.41,21.62,16.2,32.0,27.0,15.0,277.0,0.9050064184852374,0.9244094488188976
66,8468011,2014,Ryan Miller,VAN,45,152491.0,104.87,107.0,2298.0,83.78,76.0,276.62,299.0,1209.05,1199.0,38.16,47.0,680.72,539.0,501.11,618.0,101.16,1265.0,335.0,87.0,37.42,40.79,26.65,46.0,32.0,29.0,611.0,0.9107589658048374,0.916156670746634
241,8473575,2014,Semyon Varlamov,COL,57,197210.0,157.82,141.0,3447.0,130.27,141.0,409.22,453.0,1801.46,1791.0,44.73,46.0,1024.68,841.0,745.31,888.0,150.79,1878.0,516.0,134.0,55.09,61.31,41.42,46.0,57.0,38.0,919.0,0.9212730318257957,0.9136522753792299
336,8475683,2014,Sergei Bobrovsky,CBJ,51,179366.0,128.95,134.0,2820.0,107.38,95.0,355.35,331.0,1576.83,1632.0,42.14,76.0,897.39,735.0,654.78,810.0,124.13,1714.0,373.0,108.0,48.25,44.38,36.33,44.0,52.0,38.0,625.0,0.9178921568627451,0.9075309818875119
116,8473461,2014,Steve Mason,PHI,51,173123.0,126.99,108.0,2765.0,99.35,117.0,343.8,412.0,1469.48,1490.0,43.91,36.0,797.66,596.0,607.06,751.0,122.89,1533.0,379.0,111.0,42.18,47.24,37.58,24.0,45.0,39.0,742.0,0.9275167785234899,0.9176029962546817
101,8471306,2014,Thomas Greiss,PIT,20,69277.0,43.42,50.0,978.0,36.76,36.0,121.21,101.0,521.02,546.0,18.91,28.0,298.1,276.0,212.82,251.0,41.83,551.0,148.0,31.0,16.09,18.35,8.98,21.0,24.0,5.0,248.0,0.9084249084249084,0.924812030075188
321,8471695,2014,Tuukka Rask,BOS,70,243781.0,160.02,156.0,3623.0,128.27,115.0,469.3,551.0,1986.91,2011.0,67.51,88.0,1098.05,859.0,833.46,1006.0,154.83,2162.0,457.0,135.0,59.03,54.65,46.34,47.0,59.0,50.0,869.0,0.9224266534062655,0.9153638814016173
366,8475195,2015,Anders Nilsson,STL,29,90035.0,72.04,78.0,1419.0,54.3,58.0,179.59,170.0,783.75,789.0,23.99,25.0,442.86,374.0,320.84,383.0,68.96,816.0,218.0,61.0,24.94,26.89,20.21,28.0,33.0,17.0,324.0,0.9011406844106464,0.9230769230769231
386,8476883,2015,Andrei Vasilevskiy,T.B,24,75518.0,51.48,58.0,1207.0,44.5,32.0,147.78,167.0,636.08,646.0,19.63,14.0,368.13,293.0,269.48,339.0,49.69,703.0,166.0,33.0,20.75,19.65,11.08,27.0,22.0,9.0,305.0,0.9102167182662538,0.9168918918918919
286,8474550,2015,Antti Niemi,DAL,48,158063.0,118.08,118.0,2381.0,88.74,101.0,300.99,261.0,1300.78,1246.0,46.08,46.0,719.46,586.0,535.14,696.0,112.35,1321.0,363.0,122.0,35.17,43.9,39.02,36.0,30.0,52.0,575.0,0.9052969502407705,0.8921679909194098
326,8477293,2015,Antti Raanta,NYR,25,69021.0,48.5,43.0,1065.0,36.67,39.0,121.54,122.0,538.09,530.0,16.36,19.0,296.98,253.0,222.85,270.0,46.85,546.0,153.0,45.0,15.96,18.84,13.7,8.0,20.0,15.0,321.0,0.9188679245283019,0.921994884910486
51,8471750,2015,Ben Bishop,T.B,61,214778.0,137.23,123.0,3034.0,116.45,110.0,387.81,367.0,1664.63,1673.0,55.74,58.0,955.12,781.0,691.27,917.0,132.07,1814.0,421.0,108.0,49.89,51.1,36.24,45.0,47.0,31.0,691.0,0.9264793783622236,0.9096153846153846
96,8474651,2015,Braden Holtby,WSH,66,230471.0,165.28,141.0,3551.0,129.13,129.0,419.02,431.0,1835.7,1803.0,61.37,66.0,1034.31,865.0,748.38,937.0,156.04,1893.0,507.0,155.0,52.68,61.74,50.87,45.0,58.0,38.0,996.0,0.9217970049916805,0.9241420830824805
231,8470880,2015,Brian Elliott,STL,42,135780.0,104.81,78.0,2080.0,79.29,73.0,255.03,299.0,1128.8,1114.0,32.78,31.0,628.39,485.0,446.0,568.0,97.4,1154.0,286.0,110.0,33.39,34.16,37.26,25.0,28.0,25.0,530.0,0.9299820466786355,0.9097014925373135
61,8475717,2015,Calvin Pickard,COL,20,58826.0,47.81,42.0,1039.0,39.31,37.0,118.33,122.0,534.4,539.0,13.64,14.0,305.4,242.0,220.92,289.0,46.07,547.0,164.0,38.0,16.59,20.45,10.78,13.0,22.0,7.0,290.0,0.922077922077922,0.9041752224503765
156,8475660,2015,Cam Talbot,EDM,56,190595.0,142.79,137.0,3128.0,111.61,108.0,375.38,403.0,1626.97,1649.0,47.28,40.0,918.88,768.0,669.89,795.0,137.75,1729.0,417.0,125.0,50.53,49.59,42.68,51.0,43.0,43.0,857.0,0.9169193450576106,0.9186717998075072
306,8470320,2015,Cam Ward,CAR,52,181970.0,126.72,122.0,2523.0,93.42,93.0,315.94,303.0,1387.93,1343.0,49.71,62.0,759.53,610.0,571.46,739.0,122.36,1402.0,400.0,110.0,43.03,47.86,35.83,43.0,45.0,34.0,611.0,0.9091586001489204,0.9053185271770894
151,8473434,2015,Chad Johnson,BUF,45,155465.0,112.51,102.0,2371.0,89.78,77.0,293.0,328.0,1290.91,1271.0,37.47,52.0,736.98,561.0,529.07,680.0,107.24,1368.0,345.0,90.0,40.38,41.85,30.28,25.0,43.0,34.0,568.0,0.919748229740362,0.9102167182662538
451,8476945,2015,Connor Hellebuyck,WPG,26,86008.0,69.46,56.0,1286.0,47.45,54.0,156.17,146.0,681.75,683.0,22.3,14.0,378.33,294.0,270.85,376.0,63.87,702.0,164.0,78.0,20.11,20.25,29.1,15.0,12.0,29.0,342.0,0.91800878477306,0.9081046585832802
421,8470645,2015,Corey Crawford,CHI,58,199359.0,147.94,131.0,3058.0,117.11,143.0,386.41,363.0,1663.92,1719.0,50.66,63.0,928.14,731.0,661.58,874.0,140.56,1728.0,419.0,150.0,47.51,50.77,49.66,50.0,36.0,45.0,761.0,0.9237929028504945,0.9183914843287995
176,8471239,2015,Cory Schneider,N.J,58,204270.0,141.39,122.0,2829.0,105.81,102.0,342.13,378.0,1547.42,1597.0,43.84,53.0,855.37,681.0,635.65,797.0,136.23,1548.0,447.0,136.0,44.94,53.36,43.09,43.0,38.0,41.0,698.0,0.9236067626800251,0.9084783829309376
56,8467950,2015,Craig Anderson,OTT,60,208628.0,159.16,161.0,3422.0,129.07,126.0,428.16,422.0,1864.94,1915.0,50.65,57.0,1050.3,854.0,770.02,967.0,154.18,1977.0,486.0,135.0,57.27,59.32,42.57,46.0,64.0,51.0,824.0,0.9159268929503916,0.9262229350441058
426,8471227,2015,Devan Dubnyk,MIN,67,230484.0,150.24,150.0,3545.0,127.22,134.0,429.38,438.0,1861.11,1829.0,57.98,66.0,1054.31,805.0,785.41,1006.0,144.43,2022.0,470.0,115.0,55.82,56.49,37.92,53.0,51.0,46.0,938.0,0.9179879715691635,0.9234527687296417
246,8475663,2015,Eddie Lack,CAR,34,115206.0,86.97,90.0,1685.0,65.57,77.0,215.0,203.0,948.3,910.0,29.9,32.0,530.11,418.0,389.5,485.0,83.44,945.0,299.0,74.0,29.68,35.12,22.16,32.0,39.0,19.0,367.0,0.9010989010989011,0.9024390243902439
316,8475883,2015,Frederik Andersen,ANA,43,137876.0,89.61,88.0,2069.0,73.69,53.0,251.79,216.0,1094.53,1086.0,37.69,50.0,622.35,501.0,464.42,645.0,87.05,1204.0,259.0,75.0,33.36,31.88,24.37,33.0,28.0,27.0,531.0,0.9189686924493554,0.9176413255360624
186,8468685,2015,Henrik Lundqvist,NYR,65,226342.0,169.09,156.0,3717.0,132.94,139.0,452.38,426.0,1963.14,1944.0,57.79,60.0,1110.82,962.0,805.64,981.0,162.61,2059.0,533.0,143.0,57.28,63.82,48.0,44.0,63.0,49.0,982.0,0.9197530864197531,0.9098765432098765
296,8474593,2015,Jacob Markstrom,VAN,32,110846.0,91.19,84.0,1712.0,68.23,75.0,218.38,268.0,962.53,988.0,25.34,30.0,541.79,407.0,396.52,482.0,87.32,984.0,281.0,83.0,29.73,33.75,27.71,35.0,24.0,25.0,364.0,0.9149797570850202,0.9105339105339105
111,8474596,2015,Jake Allen,STL,47,155002.0,104.62,101.0,2270.0,85.1,87.0,282.23,337.0,1229.34,1261.0,41.11,43.0,684.26,492.0,495.86,635.0,101.44,1286.0,312.0,93.0,36.59,37.59,30.45,36.0,38.0,27.0,579.0,0.9199048374306106,0.9148148148148149
346,8473503,2015,James Reimer,S.J,40,137427.0,99.11,88.0,2078.0,75.05,56.0,260.95,290.0,1129.54,1128.0,39.74,45.0,632.65,515.0,469.99,578.0,96.11,1176.0,320.0,79.0,33.15,37.61,28.34,30.0,34.0,24.0,503.0,0.9219858156028369,0.9191238416175231
21,8470860,2015,Jaroslav Halak,NYI,36,125471.0,86.98,80.0,1928.0,67.32,71.0,225.87,238.0,985.19,984.0,33.97,26.0,544.64,406.0,405.91,545.0,83.91,1015.0,284.0,64.0,30.91,34.41,21.65,29.0,26.0,25.0,565.0,0.9186991869918699,0.9152542372881356
66,8470657,2015,Jimmy Howard,DET,37,118433.0,85.07,92.0,1727.0,67.22,79.0,223.11,231.0,970.53,979.0,29.89,42.0,536.75,391.0,392.6,505.0,81.88,982.0,277.0,77.0,27.6,33.5,23.98,30.0,37.0,25.0,391.0,0.906026557711951,0.9274074074074075
146,8476434,2015,John Gibson,ANA,40,137680.0,75.42,79.0,1966.0,69.3,58.0,232.84,254.0,1001.86,993.0,38.54,31.0,573.13,477.0,425.03,505.0,73.64,1134.0,213.0,62.0,30.01,25.57,19.85,28.0,32.0,19.0,557.0,0.9204431017119838,0.9242002781641169
166,8473541,2015,Jonathan Bernier,TOR,38,128806.0,102.46,103.0,2032.0,75.41,62.0,261.31,338.0,1125.56,1114.0,38.12,44.0,627.2,490.0,461.63,522.0,97.32,1160.0,323.0,82.0,35.3,38.93,28.22,45.0,33.0,25.0,467.0,0.90754039497307,0.9154786150712831
1,8470140,2015,Kari Lehtonen,DAL,43,136751.0,101.59,105.0,2258.0,80.32,82.0,264.53,243.0,1153.13,1121.0,39.92,50.0,650.02,554.0,484.42,599.0,98.2,1204.0,336.0,79.0,33.35,41.09,27.15,38.0,46.0,21.0,639.0,0.9063336306868867,0.9023917259211377
126,8476234,2015,Keith Kinkaid,N.J,23,74445.0,51.04,58.0,1132.0,40.38,31.0,139.28,169.0,600.42,605.0,15.68,17.0,341.6,258.0,245.25,293.0,48.77,652.0,138.0,47.0,19.43,16.63,14.99,22.0,22.0,14.0,295.0,0.9041322314049587,0.9165596919127086
361,8475839,2015,Louis Domingue,ARI,39,132364.0,97.97,101.0,2201.0,79.84,94.0,274.31,307.0,1176.7,1143.0,35.48,37.0,657.89,517.0,497.26,588.0,95.19,1270.0,281.0,96.0,34.26,33.64,30.07,27.0,39.0,35.0,554.0,0.9116360454943132,0.9076576576576576
276,8470594,2015,Marc-Andre Fleury,PIT,58,207753.0,135.55,132.0,3088.0,109.9,113.0,381.93,383.0,1632.45,1665.0,57.5,77.0,924.86,735.0,684.46,858.0,130.9,1816.0,350.0,124.0,52.74,42.3,40.51,50.0,42.0,40.0,798.0,0.9207207207207208,0.9093988145639289
11,8474889,2015,Martin Jones,S.J,65,226852.0,147.81,143.0,3437.0,120.08,133.0,406.85,399.0,1749.03,1734.0,62.23,54.0,983.26,776.0,717.47,936.0,142.59,1876.0,420.0,137.0,51.68,50.27,45.87,54.0,39.0,50.0,1004.0,0.9175317185697809,0.9113475177304965
331,8474636,2015,Michael Hutchinson,WPG,30,95157.0,68.62,75.0,1419.0,55.15,60.0,179.56,233.0,785.14,805.0,23.41,19.0,438.2,329.0,317.21,365.0,66.26,812.0,206.0,66.0,23.84,25.46,19.32,19.0,30.0,26.0,335.0,0.906832298136646,0.9030390738060782
376,8473607,2015,Michal Neuvirth,PHI,32,109531.0,79.56,69.0,1747.0,61.5,78.0,210.56,238.0,906.86,908.0,29.13,41.0,491.37,362.0,369.96,464.0,76.54,945.0,221.0,76.0,26.75,27.09,25.73,18.0,23.0,28.0,505.0,0.9240088105726872,0.8907849829351536
131,8477237,2015,Mike Condon,MTL,55,187364.0,128.33,141.0,2760.0,101.11,123.0,340.86,364.0,1460.98,1458.0,51.44,60.0,806.82,614.0,597.64,717.0,124.17,1522.0,376.0,124.0,43.33,45.07,39.93,45.0,42.0,54.0,738.0,0.9032921810699588,0.9144385026737968
416,8469608,2015,Mike Smith,ARI,32,105210.0,76.01,77.0,1722.0,64.58,51.0,215.74,221.0,944.22,921.0,23.52,20.0,540.5,437.0,395.67,504.0,73.75,1033.0,235.0,55.0,29.29,27.95,18.76,26.0,33.0,18.0,399.0,0.9163952225841476,0.9138619509412436
211,8471469,2015,Pekka Rinne,NSH,66,233722.0,136.44,161.0,3298.0,111.61,90.0,386.17,441.0,1684.51,1745.0,61.82,75.0,937.34,718.0,707.01,856.0,132.79,1822.0,388.0,122.0,48.63,46.56,41.25,50.0,47.0,64.0,966.0,0.9077363896848137,0.9180421172453045
81,8475852,2015,Petr Mrazek,DET,54,177635.0,125.32,115.0,2489.0,96.08,89.0,321.87,289.0,1423.68,1448.0,46.81,43.0,795.75,620.0,587.74,798.0,119.46,1501.0,362.0,111.0,42.86,43.86,38.6,35.0,38.0,42.0,515.0,0.9205801104972375,0.9008885850991114
406,8475831,2015,Philipp Grubauer,WSH,22,66662.0,46.75,43.0,1020.0,38.29,40.0,123.12,112.0,544.32,523.0,17.85,14.0,304.94,241.0,225.33,303.0,45.24,558.0,162.0,36.0,16.89,19.33,10.53,15.0,19.0,9.0,264.0,0.9177820267686424,0.9264957264957265
16,8466141,2015,Roberto Luongo,FLA,62,216111.0,159.99,141.0,3113.0,118.39,110.0,398.35,476.0,1741.16,1801.0,53.01,64.0,976.68,715.0,724.2,919.0,151.97,1846.0,431.0,159.0,51.08,52.6,56.31,37.0,48.0,56.0,677.0,0.9217101610216546,0.9146141215106732
281,8475215,2015,Robin Lehner,BUF,21,68645.0,47.65,48.0,1129.0,40.46,39.0,146.17,152.0,613.55,635.0,19.01,21.0,348.85,263.0,257.35,337.0,45.77,667.0,148.0,46.0,17.34,17.04,13.28,20.0,18.0,10.0,268.0,0.9244094488188976,0.9205020920502092
436,8468011,2015,Ryan Miller,VAN,51,182609.0,136.04,137.0,2871.0,109.28,81.0,355.14,436.0,1572.65,1634.0,45.14,55.0,883.89,658.0,657.99,830.0,131.31,1609.0,478.0,107.0,47.58,56.42,32.04,48.0,56.0,33.0,677.0,0.916156670746634,0.9136442141623489
46,8474152,2015,Scott Darling,CHI,29,93392.0,66.76,67.0,1438.0,52.98,54.0,175.99,138.0,770.7,784.0,23.58,25.0,430.02,345.0,319.41,443.0,64.49,804.0,202.0,64.0,23.36,24.12,19.27,22.0,24.0,21.0,368.0,0.9145408163265306,0.9236031927023945
336,8473575,2015,Semyon Varlamov,COL,57,189565.0,151.09,148.0,3298.0,120.63,151.0,387.36,367.0,1714.38,1714.0,45.51,46.0,963.19,750.0,717.13,936.0,145.3,1809.0,444.0,142.0,50.64,53.67,46.79,56.0,47.0,45.0,903.0,0.9136522753792299,0.8979865771812081
121,8475683,2015,Sergei Bobrovsky,CBJ,37,126981.0,93.5,97.0,1933.0,67.0,79.0,244.72,234.0,1030.56,1049.0,33.1,74.0,572.43,418.0,427.13,545.0,89.53,1115.0,236.0,88.0,32.42,27.92,33.16,35.0,35.0,27.0,494.0,0.9075309818875119,0.9314994606256742
456,8473461,2015,Steve Mason,PHI,54,189026.0,148.81,132.0,2950.0,102.66,131.0,363.63,429.0,1561.75,1602.0,52.08,41.0,838.66,602.0,645.31,799.0,141.83,1580.0,423.0,148.0,46.76,52.42,49.63,35.0,52.0,45.0,799.0,0.9176029962546817,0.9080976863753213
226,8471306,2015,Thomas Greiss,NYI,41,137239.0,102.18,90.0,2247.0,81.49,71.0,258.99,249.0,1164.41,1197.0,34.2,44.0,656.61,544.0,493.01,642.0,97.93,1235.0,315.0,80.0,36.04,38.92,27.21,32.0,25.0,33.0,617.0,0.924812030075188,0.9132828630419821
311,8471695,2015,Tuukka Rask,BOS,64,220683.0,166.84,157.0,3544.0,129.23,99.0,431.11,465.0,1890.62,1855.0,61.17,62.0,1057.68,829.0,790.82,1005.0,161.8,2000.0,484.0,154.0,57.73,57.65,51.47,42.0,52.0,63.0,906.0,0.9153638814016173,0.9150124069478909
211,8477180,2016,Aaron Dell,S.J,20,66633.0,49.84,37.0,1077.0,36.95,40.0,126.11,124.0,540.96,533.0,18.18,23.0,304.84,247.0,223.17,296.0,48.04,556.0,162.0,41.0,15.78,19.65,14.4,7.0,16.0,14.0,318.0,0.9305816135084428,0.9135483870967742
41,8475195,2016,Anders Nilsson,BUF,26,89055.0,77.75,66.0,1545.0,60.11,71.0,195.95,219.0,853.35,858.0,22.88,23.0,488.48,357.0,344.38,447.0,74.48,892.0,233.0,71.0,26.16,28.15,23.43,21.0,20.0,25.0,349.0,0.9230769230769231,0.9011764705882352
271,8476883,2016,Andrei Vasilevskiy,T.B,50,169876.0,124.09,123.0,2550.0,100.03,88.0,320.15,364.0,1421.8,1480.0,44.2,55.0,807.37,609.0,581.76,731.0,120.18,1469.0,416.0,94.0,41.53,50.39,32.16,50.0,37.0,36.0,571.0,0.9168918918918919,0.9195180722891566
401,8474550,2016,Antti Niemi,DAL,37,103710.0,87.62,95.0,1732.0,62.11,89.0,210.97,184.0,906.66,881.0,30.58,31.0,496.64,407.0,369.6,456.0,83.41,936.0,219.0,102.0,26.01,26.75,34.86,31.0,30.0,34.0,475.0,0.8921679909194098,0.9112676056338028
341,8477293,2016,Antti Raanta,NYR,30,97040.0,69.48,61.0,1464.0,51.84,47.0,181.17,179.0,779.21,782.0,26.56,20.0,436.13,351.0,318.6,417.0,66.23,806.0,220.0,57.0,23.18,26.54,19.75,19.0,27.0,15.0,381.0,0.921994884910486,0.9301152737752161
291,8471750,2016,Ben Bishop,L.A,39,133357.0,93.75,94.0,1923.0,74.18,77.0,240.75,252.0,1046.73,1040.0,37.1,30.0,591.96,458.0,427.81,548.0,90.72,1070.0,318.0,75.0,32.02,38.12,23.61,29.0,41.0,24.0,460.0,0.9096153846153846,0.9173144876325088
366,8474651,2016,Braden Holtby,WSH,62,217241.0,161.31,126.0,3203.0,120.87,146.0,398.81,427.0,1722.21,1661.0,58.27,48.0,950.69,771.0,703.32,866.0,154.9,1768.0,458.0,165.0,51.55,56.54,53.22,35.0,42.0,49.0,812.0,0.9241420830824805,0.9071601941747572
