,playerId,season,name,team,games_played,icetime,xGoals,goals,unblocked_shot_attempts,xRebounds,rebounds,xFreeze,freeze,xOnGoal,ongoal,xPlayStopped,playStopped,xPlayContinuedInZone,playContinuedInZone,xPlayContinuedOutsideZone,playContinuedOutsideZone,flurryAdjustedxGoals,lowDangerShots,mediumDangerShots,highDangerShots,lowDangerxGoals,mediumDangerxGoals,highDangerxGoals,lowDangerGoals,mediumDangerGoals,highDangerGoals,blocked_shot_attempts,sv_pct,next_sv_pct
306,8470594,2012,Marc-Andre Fleury,PIT,33,111465.0,75.67,74.0,1723.0,60.86,60.0,203.25,180.0,887.42,881.0,28.75,43.0,501.34,398.0,367.94,484.0,72.8,940.0,235.0,63.0,26.88,28.2,20.6,20.0,33.0,21.0,485.0,0.9160045402951191,0.915445321307779
371,8455710,2012,Martin Brodeur,N.J,29,105141.0,58.92,65.0,1173.0,41.13,42.0,139.95,124.0,627.83,654.0,26.86,27.0,342.6,239.0,268.19,382.0,57.28,659.0,155.0,57.0,19.12,18.53,21.28,21.0,18.0,26.0,302.0,0.900611620795107,0.9011328527291452
281,8469608,2012,Mike Smith,ARI,34,117333.0,82.68,84.0,1785.0,66.88,61.0,210.51,194.0,943.07,938.0,31.39,34.0,533.23,465.0,394.35,487.0,80.16,990.0,250.0,78.0,28.58,29.97,24.14,30.0,30.0,24.0,467.0,0.9104477611940298,0.9150187065740246
36,8473404,2012,Niklas Backstrom,MIN,42,140888.0,87.68,98.0,1985.0,72.15,67.0,244.83,248.0,1061.44,1072.0,34.36,37.0,596.53,444.0,445.47,590.0,85.42,1169.0,247.0,65.0,34.43,30.2,23.04,28.0,38.0,32.0,504.0,0.9085820895522388,0.8992673992673993
346,8471715,2012,Ondrej Pavelec,WPG,44,153163.0,106.13,119.0,2373.0,83.67,100.0,293.79,268.0,1250.03,1251.0,39.96,48.0,703.6,563.0,520.34,665.0,102.74,1341.0,322.0,86.0,39.68,38.96,27.49,44.0,44.0,31.0,624.0,0.9048760991207034,0.9008515815085159
196,8471469,2012,Pekka Rinne,NSH,43,145426.0,86.14,99.0,2162.0,74.63,50.0,255.93,274.0,1111.73,1101.0,32.14,35.0,633.24,499.0,467.65,602.0,83.33,1250.0,239.0,64.0,34.89,27.84,23.41,32.0,38.0,29.0,609.0,0.9100817438692098,0.9023255813953488
121,8469548,2012,Ray Emery,CHI,21,66960.0,42.22,36.0,893.0,31.8,38.0,101.81,92.0,453.72,460.0,18.37,11.0,246.8,172.0,182.67,274.0,40.31,458.0,115.0,47.0,13.07,14.13,15.02,12.0,12.0,12.0,273.0,0.9217391304347826,0.9029535864978903
381,8466141,2012,Roberto Luongo,VAN,20,71815.0,46.35,51.0,963.0,37.27,34.0,121.72,145.0,537.61,551.0,18.63,19.0,306.91,230.0,221.93,277.0,45.18,576.0,144.0,32.0,17.32,17.42,11.61,22.0,15.0,14.0,211.0,0.9074410163339383,0.9188679245283019
296,8468011,2012,Ryan Miller,BUF,40,138134.0,116.66,108.0,2325.0,87.39,79.0,279.89,279.0,1243.97,1270.0,32.25,33.0,703.95,530.0,514.8,701.0,112.15,1285.0,359.0,100.0,39.15,43.21,34.31,32.0,37.0,39.0,581.0,0.9149606299212598,0.9183023872679045
286,8473575,2012,Semyon Varlamov,COL,35,116979.0,90.09,98.0,1964.0,75.5,91.0,232.9,217.0,1020.18,1007.0,29.5,25.0,572.4,452.0,417.48,530.0,86.46,1073.0,266.0,83.0,30.55,32.57,26.97,31.0,36.0,31.0,542.0,0.9026812313803376,0.927471435668157
